,time,pos,vel,torque
115,1.1500000000000001,(3.1546748641298676+2.514865962647228e-16j),(-0.8202558005973813-3.2181828557770915e-16j),(-3.729397605028802+1.201460473530554e-16j)
116,1.16,(3.142410655125555-4.1482723995956206e-17j),(-1.485776670298377-9.603891036655863e-17j),(-3.62037626289439-1.0168459891700832e-16j)
117,1.17,(3.1278776140850644+3.9727037699321e-16j),(-1.2696423310226739+2.8508807298967936e-16j),(-3.5176746971114716-9.465836593846309e-17j)
118,1.18,(3.1110914671111973+2.1399588336145682e-16j),(-2.003504877088117+3.666013983165806e-16j),(-3.422904555765101-6.807824657822318e-17j)
119,1.19,(3.092069770972033-7.758478085878611e-17j),(-1.736491211794633-3.255464206928128e-16j),(-3.3373052470127385+3.8252722838203537e-17j)
120,1.2,(3.0708318956696408+1.3241909140998048e-16j),(-2.4922075354892512-4.178057789417449e-16j),(-3.261722558822694-1.9121278850607545e-16j)
121,1.21,(3.047399005228017+3.517956419045636e-16j),(-2.2191280139721092-4.622874034749751e-16j),(-3.1965961536314884+4.822504895891553e-17j)
122,1.22,(3.0217940367129152+8.556880304416653e-17j),(-2.949932195032918+8.12847859828439e-18j),(-3.1419561431870933-1.4497525079842553e-16j)
123,1.23,(2.9940416774983576+1.1989136041339166e-17j),(-2.7115449093639015-5.70486941404253e-16j),(-3.0974287649209287-1.832898968537803e-16j)
124,1.24,(2.9641683407967583+6.821210263296962e-17j),(-3.378807637011028-7.329207224092177e-16j),(-3.0622509975203913+2.6691382281491484e-16j)
125,1.25,(2.932202139471687+4.279750428535181e-17j),(-3.2040523232424825+4.514620166899143e-16j),(-3.035293773569964-1.3367389139567012e-16j)
126,1.26,(2.8981728581544153-4.146962123268766e-17j),(-3.7841873609502437-3.014802880578728e-16j),(-3.0150932747193453-5.644725184882373e-17j)
127,1.27,(2.862111923687517-3.637978807091713e-16j),(-3.684522278702623+3.0797957542460463e-16j),(-2.9998896331919664-2.67872404705816e-16j)
128,1.28,(2.8240523739208743+1.8732253688364454e-17j),(-4.173285504735811+3.345455741525786e-16j),(-2.9876722157150484-9.44168593555073e-17j)
129,1.29,(2.784028824887525+1.658439174695158e-16j),(-4.140036145389186+4.693111108098302e-16j),(-2.976230534998597+3.1556125186302386e-17j)
130,1.3,(2.74207743638888+2.421139180389063e-16j),(-4.553524268190116+1.2511007127193344e-17j),(-2.963209722242403-2.2229001908896027e-16j)
131,1.31,(2.6982358760208447+3.3306338821619914e-16j),(-4.558688036543825+9.205120793643517e-16j),(-2.9461694039480166+1.4277576436916928e-16j)
132,1.32,(2.6525432816744545+1.190544020914738e-16j),(-4.930855757170444-3.052983188833658e-16j),(-2.922644759269738+3.0080329048521994e-16j)
133,1.33,(2.605040222546586+2.982630088794963e-16j),(-4.9312706718019435-3.3569547443868044e-16j),(-2.890208491508686-4.9453643418068074e-17j)
